Touriste
15354
15859
18107
17290
17818
18783
21034
20897
18789
20891
16229
17190
13102
14765
16829
15962
17485
16551
19111
18601
17989
18121
14040
13940
9999
10372
12415
11230
13236
13824
16853
15808
14888
15972
12892
12958
9016
9730
10547
10271
11525
12119
17790
15087
15160
16092
12784
13798
11371
11038
12304
12458
12838
14424
16858
15372
14402
14519
13086
14106
10238
11523
13075
13147
13879
14940
16979
16002
15944
15519
12470
15262
11174
11177
13897
12011
13534
15120
17289
14655
14175
14576
12953
13832
12422
12410
15410
15737
14853
14650
17656
14603
15500
17546
14646
15169
12343
12949
14472
13956
14832
16223
18060
16463
16927
17561
15681
14364
12340
14444
15168
17042
15738
16758
19517
17719
17117
17499
14295
14858
11910
13564
16281
15523
16782
17599
21448
18563
18539
18271
15449
15030
11457
15747
17452
15955
16559
19372
24168
20110
19809
